No state file found — running full historical bootstrap
Fetching event list from ufcstats.com...
Found 773 events to process
[334/773] UFC 192: Cormier vs Gustafsson (2015-10-03)  12 fights
[335/773] UFC Fight Night: Holohan vs Smolka (2015-10-24)  10 fights
[336/773] UFC Fight Night: Belfort vs Henderson 3 (2015-11-07)  13 fights
[337/773] UFC 193: Rousey vs Holm (2015-11-14)  13 fights
[338/773] UFC Fight Night: Magny vs Gastelum (2015-11-21)  13 fights
[339/773] UFC Fight Night: Henderson vs Masvidal (2015-11-28)  11 fights
[340/773] UFC Fight Night: Namajunas vs. VanZant (2015-12-10)  12 fights
[341/773] The Ultimate Fighter: Team McGregor vs. Team Faber Finale (2015-12-11)  10 fights
[342/773] UFC 194: Aldo vs McGregor (2015-12-12)  12 fights
[343/773] UFC on FOX: Dos Anjos vs. Cowboy 2 (2015-12-19)  13 fights
[344/773] UFC 195: Lawler vs Condit (2016-01-02)  12 fights
[345/773] UFC Fight Night: Dillashaw vs Cruz (2016-01-17)  13 fights
[346/773] UFC on FOX: Johnson vs. Bader (2016-01-30)  13 fights
[347/773] UFC Fight Night: Hendricks vs Thompson (2016-02-06)  12 fights
[348/773] UFC Fight Night: Cowboy vs Cowboy (2016-02-21)  13 fights
[349/773] UFC Fight Night: Silva vs Bisping (2016-02-27)  13 fights
[350/773] UFC 196: McGregor vs Diaz (2016-03-05)  12 fights
[351/773] UFC Fight Night: Hunt vs Mir (2016-03-19)  12 fights
[352/773] UFC Fight Night: Rothwell vs Dos Santos (2016-04-10)  13 fights
[353/773] UFC on FOX: Teixeira vs Evans (2016-04-16)  11 fights
[354/773] UFC 197: Jones vs Saint Preux (2016-04-23)  12 fights
[355/773] UFC Fight Night: Overeem vs Arlovski (2016-05-08)  13 fights
[356/773] UFC 198: Werdum vs Miocic (2016-05-14)  12 fights
[357/773] UFC Fight Night: Almeida vs Garbrandt (2016-05-29)  12 fights
[358/773] UFC 199: Rockhold vs. Bisping 2 (2016-06-04)  13 fights
[359/773] UFC Fight Night: MacDonald vs Thompson (2016-06-18)  13 fights
[360/773] UFC Fight Night: Dos Anjos vs. Alvarez (2016-07-07)  12 fights
[361/773] The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale (2016-07-08)  12 fights
[362/773] UFC 200: Tate vs Nunes (2016-07-09)  12 fights
[363/773] UFC Fight Night: McDonald vs. Lineker (2016-07-13)  12 fights
[364/773] UFC on FOX: Holm vs. Shevchenko (2016-07-23)  11 fights
[365/773] UFC 201: Lawler vs. Woodley (2016-07-30)  11 fights
[366/773] UFC Fight Night: Rodriguez vs. Caceres (2016-08-06)  12 fights
[367/773] UFC 202: Diaz vs. McGregor 2 (2016-08-20)  12 fights
[368/773] UFC on FOX: Maia vs. Condit (2016-08-27)  10 fights
